code,name,records,distinct_alias,area_km2,boundary_km,blank_alias,blank_ntfdate
43110,청주시,173,166,6.600536206336975,693.208997566358,0,170
43130,충주시,157,6,1.1923077261428834,147.33399891228933,151,151
43150,제천시,408,161,5.773014793914795,688.7865253857285,15,20
43720,보은군,1367,2,4.456927188583374,889.7653380787864,0,0
43730,옥천군,177,2,3.913725013999939,554.8675449656051,0,177
43740,영동군,1471,2,5.640738570976257,1061.1190053898226,18,45
43745,증평군,109,27,0.7334087876739502,115.63646441631649,0,109
43750,진천군,1350,0,5.65137607195282,1067.4683003648397,1350,0
43760,괴산군,533,264,8.62827560761261,1458.6047154675987,0,533
43770,음성군,1574,2,6.053245747703552,1113.8606481754714,0,1
43800,단양군,123,113,2.5476392147140503,468.89213149965747,0,1
